organism,tRNA_isotype,tRNA_anticodon,sprinzl_position,modification_short_name,modification_full_name,modomics_abbrev,rt_signature_type,rt_signature_pattern,enzyme,universality
Homo sapiens,all,all,9,m1G,1-methylguanosine,K,rt_stop,,TRMT10A,universal
Homo sapiens,all,all,10,m2G,N2-methylguanosine,L,mismatch,G->A,TRMT11,frequent
Homo sapiens,all,all,13,Psi,pseudouridine,P,silent,,PUS7,frequent
Homo sapiens,all,all,16,D,dihydrouridine,D,rt_stop,,DUS1L/DUS2L,universal
Homo sapiens,all,all,17,D,dihydrouridine,D,rt_stop,,DUS1L/DUS2L,frequent
Homo sapiens,all,all,20,D,dihydrouridine,D,rt_stop,,DUS3L/DUS4L,frequent
Homo sapiens,all,all,20a,D,dihydrouridine,D,rt_stop,,DUS3L/DUS4L,rare
Homo sapiens,all,all,26,m22G,N2-N2-dimethylguanosine,R,mismatch,G->A,TRMT1,universal
Homo sapiens,all,all,27,Psi,pseudouridine,P,silent,,PUS1,frequent
Homo sapiens,all,all,28,Psi,pseudouridine,P,silent,,PUS1,frequent
Homo sapiens,all,all,31,Psi,pseudouridine,P,silent,,PUS1,frequent
Homo sapiens,all,all,32,m3C,3-methylcytidine,Щ,mismatch,C->T,METTL2A/METTL2B/METTL6,conditional
Homo sapiens,all,all,34,various,wobble modifications,various,mismatch,,various,conditional
Homo sapiens,all,all,34,mcm5U,5-methoxycarbonylmethyluridine,mcm5U,mismatch,U->C,ALKBH8/CTU1/CTU2,conditional
Homo sapiens,all,all,34,mcm5s2U,5-methoxycarbonylmethyl-2-thiouridine,mcm5s2U,combined,U->C,ALKBH8/CTU1/CTU2,conditional
Homo sapiens,all,all,37,i6A,N6-isopentenyladenosine,i6A,mismatch,A->G,TRIT1,conditional
Homo sapiens,all,all,37,m1G,1-methylguanosine,K,rt_stop,,TRMT5,conditional
Homo sapiens,all,all,37,t6A,N6-threonylcarbamoyladenosine,t6A,mismatch,A->T,YRDC/OSGEP,conditional
Homo sapiens,all,all,38,Psi,pseudouridine,P,silent,,PUS3,frequent
Homo sapiens,all,all,39,Psi,pseudouridine,P,silent,,PUS3,frequent
Homo sapiens,all,all,46,m7G,7-methylguanosine,7,mismatch,G->A,METTL1/WDR4,universal
Homo sapiens,all,all,48,m5C,5-methylcytidine,?,silent,,NSUN2,frequent
Homo sapiens,all,all,49,m5C,5-methylcytidine,?,silent,,NSUN2,frequent
Homo sapiens,all,all,54,m5U,5-methyluridine (ribothymidine),T,silent,,TRMT2A,universal
Homo sapiens,all,all,55,Psi,pseudouridine,P,silent,,TRUB1/PUS10,universal
Homo sapiens,all,all,58,m1A,1-methyladenosine,m1A,combined,A->any,TRMT6/TRMT61A,universal
